timestamp,open,high,low,close,volume
2021-07-15,149.24,150.0,147.09,148.48,106820297
2021-07-16,148.46,149.76,145.88,146.39,93251426
2021-07-19,143.75,144.07,141.67,142.45,121434571
2021-07-20,143.46,147.0997,142.96,146.15,96350036
2021-07-21,145.53,146.13,144.63,145.4,74993460
2021-07-22,145.935,148.195,145.81,146.8,77338156
2021-07-23,147.55,148.7177,146.92,148.56,71447416
2021-07-26,148.27,149.83,147.7,148.99,72434089
2021-07-27,149.12,149.21,145.55,146.77,104818578
2021-07-28,144.81,146.97,142.54,144.98,118931191
2021-07-29,144.685,146.55,144.58,145.64,54323047
2021-07-30,144.38,146.33,144.11,145.86,70440626
2021-08-02,146.36,146.95,145.25,145.52,62879961
2021-08-03,145.81,148.045,145.18,147.36,64786618
2021-08-04,147.27,147.79,146.28,146.95,56368271
2021-08-05,146.98,147.84,146.17,147.06,46397674
2021-08-06,146.35,147.11,145.63,146.14,54126813
2021-08-09,146.2,146.7,145.52,146.09,48908689
2021-08-10,146.44,147.71,145.3,145.6,69023081
2021-08-11,146.05,146.72,145.53,145.86,48493463
2021-08-12,146.19,149.05,145.84,148.89,73779113
2021-08-13,148.97,149.4444,148.27,149.1,58846293
2021-08-16,148.535,151.19,146.47,151.12,103558782
2021-08-17,150.23,151.68,149.09,150.19,92229735
2021-08-18,149.8,150.72,146.15,146.36,86325990
2021-08-19,145.03,148.0,144.5,146.7,86960310
2021-08-20,147.44,148.5,146.78,148.19,60549630
2021-08-23,148.31,150.19,147.89,149.71,60131810
2021-08-24,149.45,150.86,149.15,149.62,48606428
2021-08-25,149.81,150.32,147.8,148.36,58991297
2021-08-26,148.35,149.12,147.51,147.54,48597195
2021-08-27,147.48,148.75,146.83,148.6,55802388
2021-08-30,149.0,153.49,148.61,153.12,90956723
2021-08-31,152.66,152.8,151.29,151.83,86453117
2021-09-01,152.83,154.98,152.34,152.51,80313711
2021-09-02,153.87,154.72,152.4,153.65,71171317
2021-09-03,153.76,154.63,153.09,154.3,57866066
2021-09-07,154.97,157.26,154.39,156.69,82278261
2021-09-08,156.98,157.04,153.975,155.11,74420207
2021-09-09,155.49,156.11,153.95,154.07,57305730
2021-09-10,155.0,155.48,148.7,148.97,140893235
2021-09-13,150.63,151.42,148.75,149.55,102404329
2021-09-14,150.35,151.07,146.91,148.12,109296295
2021-09-15,148.56,149.44,146.37,149.03,83281315
2021-09-16,148.44,148.97,147.221,148.79,68034149
2021-09-17,148.82,148.82,145.76,146.06,129868824
2021-09-20,143.8,144.84,141.27,142.94,123478863
2021-09-21,143.93,144.6,142.78,143.43,75833962
2021-09-22,144.45,146.43,143.7001,145.85,76404341
2021-09-23,146.65,147.08,145.64,146.83,64838170
2021-09-24,145.66,147.4701,145.56,146.92,53477869
2021-09-27,145.47,145.96,143.82,145.37,74150729
2021-09-28,143.25,144.75,141.69,141.91,108972340
2021-09-29,142.47,144.45,142.03,142.83,74602044
2021-09-30,143.66,144.378,141.28,141.5,89056664
2021-10-01,141.9,142.92,139.1101,142.65,94639581
2021-10-04,141.76,142.21,138.27,139.14,98322008
2021-10-05,139.49,142.24,139.36,141.11,80861062
2021-10-06,139.47,142.15,138.37,142.0,83221119
2021-10-07,143.06,144.215,142.72,143.29,61732656
2021-10-08,144.03,144.1781,142.56,142.9,58773155
2021-10-11,142.27,144.81,141.81,142.81,64452219
2021-10-12,143.23,143.25,141.0401,141.51,73035859
2021-10-13,141.235,141.4,139.2,140.91,78762721
2021-10-14,142.11,143.88,141.51,143.76,69907100
2021-10-15,143.77,144.895,143.51,144.84,67940334
2021-10-18,143.445,146.84,143.16,146.55,85589175
2021-10-19,147.01,149.17,146.55,148.76,76378894
2021-10-20,148.7,149.7539,148.12,149.26,58418788
2021-10-21,148.81,149.64,147.87,149.48,61420990
2021-10-22,149.69,150.18,148.64,148.69,58883443
2021-10-25,148.68,149.37,147.6211,148.64,50720556
2021-10-26,149.33,150.84,149.0101,149.32,60893395
2021-10-27,149.36,149.73,148.49,148.85,56094929
2021-10-28,149.82,153.165,149.72,152.57,100077888
2021-10-29,147.215,149.94,146.4128,149.8,124953168
2021-11-01,148.985,149.7,147.8,148.96,73396551
2021-11-02,148.66,151.57,148.65,150.02,68922374
2021-11-03,150.39,151.97,149.82,151.49,54511534
2021-11-04,151.58,152.43,150.64,150.96,60394616
2021-11-05,151.89,152.2,150.06,151.28,65463883
2021-11-08,151.41,151.57,150.16,150.44,55020868
2021-11-09,150.2,151.428,150.0601,150.81,56573449
2021-11-10,150.02,150.13,147.85,147.92,65187092
2021-11-11,148.96,149.43,147.681,147.87,40999950
2021-11-12,148.43,150.4,147.48,149.99,63245197
2021-11-15,150.37,151.88,149.43,150.0,59222803
2021-11-16,149.94,151.488,149.34,151.0,59256210
2021-11-17,150.995,155.0,150.99,153.49,88807000
2021-11-18,153.71,158.67,153.05,157.87,137827673
2021-11-19,157.65,161.02,156.5328,160.55,117305597
2021-11-22,161.68,165.7,161.0,161.02,117467889
2021-11-23,161.12,161.8,159.0601,161.41,96041899
2021-11-24,160.75,162.14,159.64,161.94,69463623
2021-11-26,159.565,160.45,156.36,156.81,76959752
2021-11-29,159.37,161.19,158.7901,160.24,88748217
2021-11-30,159.985,165.52,159.92,165.3,174048056
2021-12-01,167.48,170.3,164.53,164.77,152423003
2021-12-02,158.735,164.2,157.8,163.76,136739174
2021-12-03,164.02,164.96,159.72,161.84,118023116
